Artist,Song Title,Genre (Aneeka),Genre (Samantha),Genre (Michael) ,Lyrics
Camila Cabello,Havana,Pop,Pop,Pop,"Hey Havana, ooh na-na (ay) Half of my heart is in Havana, ooh-na-na (ay, ay) He took me back to East Atlanta, na-na-na Oh, but my heart is in Havana (ay) There's somethin' 'bout his manners (uh huh) Havana, ooh na-na (uh) He didn't walk up with that ""how you doin'?"" (uh) (When he came in the room) He said there's a lot of girls I can do with (uh) (But I can't without you) I knew him forever in a minute (hey) (That summer night in June) And papa says he got malo in him (uh) He got me feelin' like Ooh-ooh-ooh, I knew it when I met him I loved him when I left him Got me feelin' like Ooh-ooh-ooh, and then I had to tell him I had to go, oh na-na-na-na-na Havana, ooh na-na (ay, ay) Half of my heart is in Havana, ooh-na-na (ay, ay) He took me back to East Atlanta, na-na-na (uh huh) Oh, but my heart is in Havana (ay) My heart is in Havana (ay) Havana, ooh na-na Jeffery Just graduated, fresh on campus, mm Fresh out East Atlanta with no manners, damn Fresh out East Atlanta Bump on her bumper like a traffic jam Hey, I was quick to pay that girl like Uncle Sam (here you go, ay) Back it on me, shawty cravin' on me Get to diggin' on me (on me) She waited on me (then what?) Shawty cakin' on me, got the bacon on me (wait up) This is history in the makin' on me (on me) Point blank, close range, that be If it cost a million, that's me (that's me) I was gettin' mula, man they feel me Havana, ooh na-na (ay, ay) Half of my heart is in Havana, ooh-na-na (oh, ay, ay) He took me back to East Atlanta, na-na-na (oh no) Oh, but my heart is in Havana (ay) My heart is in Havana (ay) Havana, ooh na-na Ooh na-na, oh na-na-na (oo-ooh) Take me back, back, back like Ooh na-na, oh na-na-na (yeah, babe) Take me back, back, back like Ooh na-na, oh na-na-na (yea, yeah) Take me back, back, back like Ooh na-na, oh na-na-na (yea, babe) Take me back, back, back (Hey, hey) Ooh-ooh-ooh Ooh-ooh-ooh Take me back to my Havana Havana, ooh na-na Half of my heart is in Havana, ooh-na-na (oh, yeah) He took me back to East Atlanta, na-na-na (ay, ay) Oh, but my heart is in Havana My heart is in Havana (ay) Havana, ooh na-na Uh huh Oh na-na-na (oh na, yeah) Oh na-na-na Oh na-na-na No, no, no, take me back Oh na-na-na Havana, ooh na-na"
Juice WRLD,Lucid Dreams,Hip-Hop,Rap,Hip-Hop,"No, no, no I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you so I must replace you (oh) Easier said than done I thought you were the one Listening to my heart instead of my head You found another one, but I am the better one I won't let you forget me I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you so I must replace you (oh) Easier said than done I thought you were the one Listening to my heart instead of my head You found another one, but I am the better one I won't let you forget me You left me falling and landing inside my grave I know that you want me dead I take prescriptions to make me feel a-okay I know it's all in my head I have these lucid dreams where I can't move a thing Thinking of you in my bed You were my everything Thoughts of a wedding ring Now I'm just better off dead I'll do it over again I didn't want it to end I watch it blow in the wind I should've listened to my friends Did this shit in the past But I want it to last You were made outta plastic (fake) I was tangled up in your drastic ways Who knew evil girls have the prettiest face? You gave me a heart that was full of mistakes I gave you my heart and you made heart break You made my heart break You made my heart ache (I still see your shadows in my room) You made my heart break You made my heart ache (can't take back the love that I gave you) You made my heart break (were made outta plastic, fake) You made my heart ache (I still see your shadows in my room) You made my heart break again (I was tangled up your drastic ways) (Who knew evil girls have the prettiest face?) I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you so I must replace you (oh) Easier said than done I thought you were the one Listening to my heart instead of my head You found another one, but I am the better one I won't let you forget me I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you so I must replace you (oh) Easier said than done I thought you were the one Listening to my heart instead of my head You found another one, but I am the better one I won't let you forget me Did this shit in the past but I want it to last You were made outta plastic (fake) I was tangled up in your drastic ways Who knew evil girls have the prettiest face? Easier said than done I thought you were (Instead of my head, you found another) I won't let you forget me"
Drake,Nice For What,Hip-Hop,Hip-Hop,Hip-Hop,"I wanna know who mothafuckin' representin' in here tonight Hold on, hold on I keep lettin' you back in (lettin' you back in) How can I, explain myself? Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me (Lil Weezyana shit) Cry for me, cry for me, you said you'd die for me (Murda on the beat) Give to me, give to me, why won't you live for me? Care for me, care for me, I know you care for me (A song for y'all to cut up to, you know?) There for me, there for me, said you'd be there for me (yeah) Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? Everybody get your mothafuckin' roll on I know shorty and she doesn't want no slow song Had a man last year, life goes on Haven't let that thing loose, girl, in so long You've been inside, know you like to lay low I've been peepin' what you bringin' to the table Workin' hard, girl, everything paid for First, last phone bill, car note, cable With your phone out, gotta hit them angles With your phone out, snappin' like you Fabo And you showin' off, but it's alright And you showin' off, but it's alright (alright!) It's a short life, yeah Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? That's a real one in your reflection Without a follow, without a mention You really pipin' up on these niggas You gotta, be nice for what, to these niggas? I understand You got a hunnid bands You got a baby Benz, you got some bad friends High school pics, you was even bad then You ain't stressin' off no lover in the past tense You already had them Work at 8 A.M., finish 'round five Hoes talk down, you don't see 'em outside Yeah, they don't really be the same offline You know dark days, you know hard times Doin' overtime for the last month Saturday, call the girls, get 'em gassed up Gotta hit the club, gotta make that ass jump Gotta hit the club like you hit them mothafuckin' angles With your phone out, snappin' like you Fabo And you showin' off, but it's alright And you showin' off, but it's alright It's a short life Uh-huh! (Oh yeah!) These hoes! (They hate!) Your boy! (Today!) I may! (Watch the breakdown) Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me? Gotta make that jump, gotta make that, gotta, gotta make that Gotta make that jump, gotta make that, gotta, gotta make that Gotta, gotta, gotta g-g-gotta, g-g-gotta, gotta Gotta, g-g-gotta, gotta, gotta make that jump, jump (let's go) Bend it over, lift it up, bend it over, lift it up (Make that jump, jump) Bend it over, lift it up, bend it over, lift it up (Make that jump, jump) Bend it over, over, over, over, over (Make that jump, jump) Bend it over, lift it up (Make that jump, jump) Bend it over, lift it up (Make that jump, jump) That's a real one in your reflection Without a follow, without a mention You really pipin' up on these niggas You gotta be, nice for what, to these niggas? I understand Care for me, care for me, you said you'd care for me There for me, there for me, said you'd be there for me Give to me, give to me, why won't you live for me? Cry for me, cry for me, you said you'd cry for me Gotta hit the club like you hit them, hit them, hit them angles It's a short life Cry for me, cry for me, you said you'd die for me Give to me, give to me, why won't you live for me?"
Maroon 5,Girls Like You (feat. Cardi B),Pop,Pop,Pop,"Spent 24 hours I need more hours with you You spent the weekend Getting even, ooh ooh We spent the late nights Making things right, between us But now it's all good baby Roll that Backwood baby And play me close 'Cause girls like you Run around with guys like me 'Til sundown, when I come through I need a girl like you, yeah yeah Girls like you Love fun, yeah me too What I want when I come through I need a girl like you, yeah yeah Yeah yeah yeah Yeah yeah yeah I need a girl like you, yeah yeah Yeah yeah yeah Yeah yeah yeah I need a girl like you, yeah yeah I spent last night On the last flight to you Took a whole day up Trying to get way up, ooh ooh We spent the daylight Trying to make things right between us And now it's all good baby Roll that Backwood baby And play me close 'Cause girls like you Run around with guys like me 'Til sundown, when I come through I need a girl like you, yeah yeah Girls like you Love fun, yeah me too What I want when I come through I need a girl like you, yeah yeah Yeah yeah yeah Yeah yeah yeah I need a girl like you, yeah yeah Yeah yeah yeah Yeah yeah yeah I need a girl like you, yeah yeah I need a girl like you, yeah yeah I need a girl like you Maybe it's 6:45 Maybe I'm barely alive Maybe you've taken my shit for the last time, yeah Maybe I know that I'm drunk Maybe I know you're the one Maybe I'm thinking it's better if you drive 'Cause girls like you Run around with guys like me 'Til sundown, when I come through I need a girl like you, yeah yeah 'Cause girls like you Run around with guys like me 'Til sundown, when I come through I need a girl like you, yeah yeah Girls like you Love fun, yeah me too What I want when I come through I need a girl like you, yeah yeah Yeah yeah yeah Yeah yeah yeah I need a girl like you, yeah yeah Yeah yeah yeah Yeah yeah yeah I need a girl like you"
Zedd,The Middle,Electronic,Dance,Pop,"Take a seat right over there, sat on the stairs Stay or leave, the cabinets are bare and I'm unaware Of just how we got into this mess, got so aggressive I know we meant all good intentions So pull me closer Why don't you pull me close? Why don't you come on over? I can't just let you go Oh baby, why don't you just meet me in the middle? I'm losing my mind just a little So why don't you just meet me in the middle? In the middle Baby, why don't you just meet me in the middle? I'm losing my mind just a little So why don't you just meet me in the middle? In the middle, oh Take a step back for a minute, into the kitchen Floors are wet and taps are still running, dishes are broken How did we get into this mess? Got so aggressive I know we meant all good intentions So pull me closer Why don't you pull me close? Why don't you come on over? I can't just let you go, oh Baby, why don't you just meet me in the middle? I'm losing my mind just a little So why don't you just meet me in the middle? In the middle Looking at you, I can't lie Just pouring out admission Regardless of my objection, oh And it's not about my pride I need you on my skin Just come over, pull me in, just Oh, baby, why don't you just meet me in the middle? I'm losing my mind just a little So why don't you just meet me in the middle? In the middle, no no Baby, why don't you just meet me in the middle? Oh Yeah I'm losing my mind just a little So why don't you just meet me in the middle? Oh In the middle Baby, why don't you just meet me in the middle, baby? I'm losing my mind just a little So why don't you just meet me in the middle, middle? In the middle, middle"
Kendrick Lamar,All The Stars (with SZA),R&B,Rap,Hip-Hop,"Love, let's talk about love Is it anything and everything you hoped for? Or do the feeling haunt you? I know the feeling haunt you This maybe the night that my dreams might let me know All the stars are closer, all the stars are closer, all the stars are closer This maybe the night that my dreams might let me know All the stars are closer, all the stars are closer, all the stars are closer Tell me what you gon' do to me Confrontation ain't nothin' new to me You can bring a bullet, bring a sword Bring a morgue, but you can't bring the truth to me Fuck you and all your expectations I don't even want your congratulations I recognize your false confidence and calculated promises all in your conversation I hate people that feel entitled Look at me crazy 'cause I ain't invite you Oh, you important? You the moral to the story, you endorsing? Motherfucker, I don't even like you Corrupt a man's heart with a gift That's how you find out who you dealin' with A small percentage, who I'm building with I want the credit if I'm losing or I'm winning On my momma that's the realest shit Girl, let's talk about love Is it anything and everything you hoped for? Or do the feeling haunt you? I know the feeling haunt you This maybe the night that my dreams might let me know All the stars are closer, all the stars are closer, all the stars are closer This maybe the night that my dreams might let me know All the stars are closer, all the stars are closer, all the stars are closer Skin covered in ego Get to talkin', I get involved, like a rebound No control, no off switch in the way that you bringing me down It's a turn on, get it away from me Know you mean wrong, keep away from me And it's all wrong, get it away from me, yeah I just cry for no reason, I just pray for no reason I just thank for the life, for the day, for the hours and another life breathin' I did it all 'cause it feel good You could live it all if you feel bad Better live your life We are running out of time Love, let's talk about love Is it anything and everything you hoped for? Or do the feeling haunt you? I know the feeling haunt you This maybe the night that my dreams might let me know All the stars are closer, all the stars are closer, all the stars are closer This maybe the night that my dreams might let me know All the stars are closer, all the stars are closer, all the stars are closer"
Ariana Grande,no tears left to cry,Pop,Pop,Pop,"Right now, I'm in a state of mind I wanna be in like all the time Ain't got no tears left to cry So I'm pickin' it up, pickin' it up I'm lovin', I'm livin', I'm pickin' it up I'm pickin' it up, pickin' it up I'm lovin', I'm livin', I'm pickin' it up (oh, yeah) I'm pickin' it up (yeah), pickin' it up (yeah) Lovin', I'm livin', so we turnin' up Yeah, we turnin' it up Ain't got no tears in my body I ran out, but boy, I like it, I like it, I like it Don't matter how, what, where, who tries it We're out here vibin', we vibin', we vibin' Comin' out, even when it's rainin' down Can't stop now, can't stop so shut your mouth Shut your mouth, and if you don't know Then now you know it, babe Know it, babe, yeah Right now, I'm in a state of mind I wanna be in, like, all the time Ain't got no tears left to cry So I'm pickin' it up, pickin' it up (oh yeah) I'm lovin', I'm livin', I'm pickin' it up Oh, I just want you to come with me We're on another mentality Ain't got no tears left to cry So I'm pickin' it up, pickin' it up I'm lovin', I'm livin', I'm pickin' it up Pickin' it up, pickin' it up I'm lovin', I'm livin', I'm pickin' it up (oh, yeah) Yeah, we turnin' it up They point out the colors in you, I see 'em too And, boy, I like 'em, I like 'em, I like 'em We're way too fly to partake in all this hate We out here vibin', we vibin', we vibin' Comin' out, even when it's rainin' down Can't stop now, can't stop, so shut your mouth Shut your mouth, and if you don't know Then now you know it, babe Know it, babe, yeah Right now, I'm in a state of mind I wanna be in, like, all the time Ain't got no tears left to cry So I'm pickin' it up, pickin' it up (oh yeah) I'm lovin', I'm livin', I'm pickin' it up Oh, I just want you to come with me We're on another mentality Ain't got no tears left to cry (so don't cry) So I'm pickin' it up, pickin' it up (oh yeah) I'm lovin', I'm livin', I'm pickin' it up Comin' out, even when it's rainin' down Can't stop now  Shut your mouth Ain't got no tears left to cry Oh yeah, oh yeah Oh, I just want you to come with me We're on another mentality Ain't got no tears left to cry (cry) So I'm pickin' it up, pickin' it up (oh yeah) I'm lovin', I'm livin', I'm pickin' it up Pickin' it up (yeah), pickin' it up (yeah) Lovin', I'm livin', so we turnin' up Yeah, we turnin' it up"
Nicky Jam,X,,,,"Aquel día te vi y tu energía sentí  Desde eso no te quiero lejos de mí  Sé que no sabes de mí y no te puedo mentir  Lo que dicen en la calle sobre mí Y no te voy a negar Estamos claros y ya No te lo voy a negar (no te lo puedo negar)  Estamos claros y ya (estamos claros, estamos claros) Solo deja que yo te agarre, baby  Besos en el cuello pa' calmar la sed  Mis manos en tus caderas pa' empezar como es  No le vamo' a bajar más nunca mamá Ba-ba-ba-ba-baila y placata, placata  Cómo ella lo mueve, sin parar, sin parar  Mis ganas de comerte ahora son más fuertes  Quiero tenerte Y no te voy a negar Estamos claros y ya No te lo voy a negar Estamos claros y ya Lo que he visto de ti mami, no es normal  Pero no te preocupes que soy anormal  Sé que a tus amigas no les debo gustar, eh Pero ve y cuéntales parte por parte  Cómo tenemos sex y te quito el estrés  Dale otra vez Y no te voy a negar Estamos claros y ya No te lo voy a negar Estamos claros y ya (no) Ba-ba-ba-ba-baila, placata, placata  Como ella lo mueve, sin parar, sin parar  Mis ganas de comerte ahora son más fuertes  Quiero tenerte Y no te voy a negar (ah, ah) N.I.C.K J Balvin man Nicky, Nicky, Nicky Jam La Industria Inc. J Balvin No voy a hablar mucho Deja que el beat siga r-r-r-rompiendo Yeah Woah"
XXXTENTACION,Moonlight,Hip-Hop,Rap,Hip-Hop,"Yeah Spotlight, uh, moonlight, uh Nigga, why you trippin'? Get your mood right, uh Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, moonlight Nigga, why you trippin'? Get your mood right Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, uh, moonlight Nigga, why you trippin'? Get your mood right, uh Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, moonlight Nigga, why you trippin'? Get your mood right Shawty look good in the moonlight All these pussy niggas so bad mind Feel like I'm destined I don't need no Smith & Wesson, no Girl, who you testin'? Fuck a Scantron, here's your lesson, oh Knife in intestine Takin' shots with all your brethren, no Feel like I'm damaged Feelin' like you fuckin' planned it All alone, call my phone, make me feel right Girl you know when you call, make me feel right All alone, call my phone, make me feel right Girl you know when you call, make me feel right Spotlight, uh, moonlight, uh Nigga, why you trippin'? Get your mood right, uh Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, moonlight Nigga, why you trippin'? Get your mood right Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, uh, moonlight Nigga, why you trippin'? Get your mood right, uh Shawty look good in the moonlight All these pussy niggas so bad mind Spotlight, moonlight Nigga, why you trippin'? Get your mood right Shawty look good in the moonlight All these pussy niggas so bad mind"
BlocBoy JB,Look Alive (feat. Drake),Hip-Hop,Hip-Hop,Hip-Hop,"Tay Keith, fuck these niggas on Yeah yeah (woo!) Yeah (6 God, BlocBoy, 6 God, BlocBoy, woo!) (6 God, BlocBoy, 6 God, BlocBoy, woo!) Yeah 901 Shelby Drive, look alive, look alive Niggas came up on this side, now they on the other side Oh well, fuck 'em dog, we gon' see how hard they ride I get racks to go outside, and I split it with the guys We up on the other side, niggas actin' like we tied I've been gone since like July, niggas actin' like I died They won't be expectin' shit when Capo go to slide 'Cause I told them that we put that shit behind us, but I lied Ay, ay, look who I'm around, man If I fucked up, I'ma be downtown, man Fourth floor bound, man, that's if I get caught, man Pushed me to the edge, so it really ain't my mothafuckin' fault, man I'm not to blame, man This fucking industry is cutthroat, I'm not the same man And I could let you check the tag now, I'm rocking name brand I'm only chasing after bags, now I got a game plan And I'm out here with the woo! Seven hundred, three high fives look alive, look alive Niggas came up on this side, now they on the other side Oh well, fuck 'em dog, we gon' see how hard they ride I get racks to go outside, and I split it with the guys We up on the other side, niggas actin' like we tied I've been gone since like July, niggas actin' like I died They won't be expectin' shit when Capo go to slide 'Cause I told them that we put that shit behind us, but I Bitch, come through, you, and you I'ma get the money, D-D-Drizzy get the loot Pull up with that Draco Play with Drake and I'ma shoot My weapon be an instrument, man I'll blow you like a flute Nigga play so he feelin' it Pull up broad day with a K, now he shiverin'  Drop a nigga like he littering We at the door like we the delivery He not a plug, he middle man That-that nigga brown like cinnamon I got the rounds like Sugar Ray Robinson Shot to the chest have you gaspin' for oxygen I'ma spay 'em, just like Febreeze Came a long way from sittin' in the nosebleeds Now a nigga on the floor talkin' to the athletes Now I'm so close to the game I could steal the stat sheet 901 Shelby Drive, look alive, look alive Niggas came up on this side, now they on the other side Oh well, fuck 'em dog, we gon' see how hard they ride I get racks to go outside, and I split it with the guys We up on the other side, niggas actin' like we tied I've been gone since like July, niggas actin' like I died They won't be expectin' shit when Capo go to slide 'Cause I told them to put that shit behind us, but I lied"
